model,year,price,transmission,fuelType,Make
 Q3,2016,16995,4,Diesel,audi
 A6,2016,18350,1,Diesel,audi
 A3,2018,15590,2,Diesel,audi
 Q7,2016,12500,4,Diesel,audi
 A1,2016,12500,2,Petrol,audi
 A1,2018,12500,2,Petrol,audi
 Q3,2016,18000,4,Petrol,audi
 A3,2016,14500,2,Petrol,audi
 A3,2018,16995,4,Diesel,audi
 A3,2015,13795,2,Diesel,audi
 A6,2017,19995,4,Diesel,audi
 A6,2015,18990,4,Diesel,audi
 A3,2017,15795,2,Diesel,audi
 Q3,2014,12595,2,Diesel,audi
 A6,2018,37995,2,Diesel,audi
 Q2,2020,35495,4,Petrol,audi
 A4,2019,28995,4,Diesel,audi
 Q3,2019,38995,1,Diesel,audi
 Q2,2017,19495,2,Petrol,audi
 Q3,2018,27995,1,Petrol,audi
 A6,2019,41995,4,Diesel,audi
 A6,2018,31700,4,Diesel,audi
 A8,2018,42000,1,Petrol,audi
 A5,2018,33500,1,Diesel,audi
 Q5,2018,31000,1,Diesel,audi
 Q7,2018,45000,1,Diesel,audi
 Q2,2019,22495,2,Diesel,audi
 A3,2019,21995,1,Petrol,audi
 Q2,2019,29809,1,Diesel,audi
 A5,2019,31995,1,Petrol,audi
 A4,2016,18000,2,Petrol,audi
 Q7,2018,55500,1,Diesel,audi
 Q5,2019,31500,1,Diesel,audi
 Q5,2019,30995,1,Diesel,audi
 A6,2019,32250,1,Diesel,audi
 A5,2019,31695,1,Diesel,audi
 Q3,2016,19000,2,Diesel,audi
 A1,2017,14695,2,Petrol,audi
 Q5,2016,31495,4,Diesel,audi
 Q3,2016,17395,2,Diesel,audi
 Q5,2019,33995,4,Diesel,audi
 A3,2017,17500,2,Petrol,audi
 A1,2017,11495,2,Diesel,audi
 A6,2019,32494,1,Diesel,audi
 Q5,2019,36202,1,Diesel,audi
